Depth,Pressure,Temperature,PWM_FL,PWM_FR,PWM_BL,PWM_BR
0.15,1027.6,13.84,1533,1465,1533,1465
0.15,1028.0,13.84,1533,1465,1533,1465
0.15,1027.8,13.83,1533,1465,1533,1465
0.15,1027.4,13.84,1533,1465,1533,1465
0.16,1028.3,13.84,1533,1465,1533,1465
0.15,1028.1,13.84,1533,1465,1533,1465
0.16,1028.7,13.83,1533,1465,1533,1465
0.15,1027.9,13.83,1533,1465,1533,1465
0.16,1028.7,13.83,1533,1465,1533,1465
0.16,1029.1,13.83,1533,1465,1533,1465
0.17,1029.9,13.83,1533,1465,1533,1465
0.17,1029.2,13.82,1533,1465,1533,1465
0.17,1029.5,13.82,1533,1465,1533,1465
0.17,1029.8,13.83,1533,1465,1533,1465
0.17,1029.6,13.82,1533,1465,1533,1465
0.17,1030.0,13.82,1533,1465,1533,1465
0.17,1029.9,13.82,1533,1465,1533,1465
0.18,1030.4,13.82,1466,1532,1466,1532
0.18,1030.7,13.82,1466,1532,1466,1532
0.18,1031.0,13.82,1466,1532,1466,1532
0.18,1030.8,13.82,1466,1532,1466,1532
0.18,1030.3,13.82,1466,1532,1466,1532
0.16,1028.9,13.82,1466,1532,1466,1532
0.14,1026.7,13.82,1534,1464,1534,1464
0.12,1024.6,13.82,1536,1459,1536,1459
0.1,1022.9,13.82,1540,1456,1540,1456
0.09,1022.1,13.81,1542,1454,1542,1454
0.09,1021.4,13.81,1542,1454,1542,1454
0.09,1021.9,13.81,1542,1454,1542,1454
0.1,1023.0,13.8,1540,1456,1540,1456
0.11,1023.8,13.8,1538,1458,1538,1458
0.11,1023.7,13.8,1538,1458,1538,1458
0.11,1024.2,13.8,1538,1458,1538,1458
0.11,1024.2,13.79,1538,1458,1538,1458
0.12,1025.0,13.79,1536,1459,1536,1459
0.12,1024.3,13.79,1536,1459,1536,1459
0.13,1025.3,13.8,1535,1462,1535,1462
0.13,1025.6,13.79,1535,1462,1535,1462
0.14,1026.7,13.79,1534,1464,1534,1464
0.14,1027.0,13.79,1534,1464,1534,1464
0.14,1026.6,13.79,1534,1464,1534,1464
0.15,1027.7,13.79,1533,1465,1533,1465
0.15,1028.0,13.79,1533,1465,1533,1465
0.16,1028.8,13.79,1533,1465,1533,1465
0.16,1028.4,13.79,1533,1465,1533,1465
0.16,1028.4,13.79,1533,1465,1533,1465
0.16,1029.1,13.79,1533,1465,1533,1465
0.17,1029.6,13.79,1533,1465,1533,1465
0.17,1029.3,13.79,1533,1465,1533,1465
0.17,1029.3,13.79,1533,1465,1533,1465
0.17,1029.8,13.79,1533,1465,1533,1465
0.17,1030.1,13.79,1533,1465,1533,1465
0.18,1030.3,13.79,1466,1532,1466,1532
0.17,1030.0,13.79,1466,1532,1466,1532
0.17,1029.7,13.79,1466,1532,1466,1532
0.17,1029.8,13.79,1466,1532,1466,1532
0.16,1029.0,13.79,1466,1532,1466,1532
0.15,1028.0,13.79,1533,1465,1533,1465
0.14,1026.4,13.79,1534,1464,1534,1464
